Total adjusted box office,Lasso predictions,Ridge predictions,Elastic net predictions,Random Forest predictions
3900255.0,215422409.75020176,215422408.87425414,215422049.47156903,694255052.2066667
76388092.0,189495777.4627115,189495778.2571626,189496104.22169444,56645605.24666667
108680938.0,193100440.00150225,193100440.56371248,193100671.23944998,589671765.8133334
61393065.0,208518654.73723045,208518654.30607733,208518477.40327525,379301310.58
82100086.0,217012397.19878298,217012396.2203958,217011994.78659534,112802498.89666666
89219940.0,203422409.08475754,203422408.9819449,203422366.79774648,38708922.50333333
80165930.0,196109505.27345052,196109505.64179295,196109656.7732739,189166710.05
107249297.0,186880325.70223457,186880326.66519377,186880721.76885924,101513414.16333333
66722756.0,190117272.338338,190117273.09274748,190117582.62814158,47796949.06333333
378250830.0,202883783.17946547,202883783.11135536,202883755.16566405,372522379.6333333
34927769.0,212320122.9321311,212320122.25605735,212319844.86192852,38138349.42666667
10872481.0,200801779.14452586,200801779.2105549,200801806.30237466,123785216.78
358180619.0,216732725.05814472,216732724.09777623,216732330.05707312,1093034965.2233334
1236301.0,215484558.59329507,215484557.71334332,215484196.66776147,694255052.2066667
13825437.0,216209634.7874596,216209633.86079273,216209253.6479142,52851273.486666664
2642556.0,190226031.4407409,190226032.18814328,190226338.84850436,74451951.74666667
405928326.0,202888961.71904826,202888961.6506045,202888933.56801915,372522379.6333333
466644617.0,194845801.06225073,194845801.512011,194845986.0493515,292865313.76
24018246.0,191282572.18521318,191282572.86454484,191282851.59538615,160197168.53
292352983.0,204183739.82723516,204183739.67537156,204183677.3654921,277892520.5833333
128171145.0,189765091.57915616,189765092.35625592,189765411.20150346,80025673.06666666
86193210.0,201257540.6966575,201257540.7333228,201257555.77714404,159669557.02666667
348424418.0,208228626.32285544,208228625.91038823,208228456.6744503,661785234.6333333
86747812.0,199786673.31348342,199786673.4449136,199786727.3709265,54212304.053333335
433881271.0,218006788.27365518,218006787.23120147,218006359.5107998,195804689.21333334
31935418.0,190013688.77081978,190013689.53190294,190014001.8055154,45340491.5
54540277.0,198859611.57086375,198859611.76202258,198859690.1947944,102853514.62666667
239216.0,217939457.86128464,217939456.82316887,217939030.88263807,4873849.773333333
1423344801.0,198538509.0214417,198538509.23328853,198538596.15436524,511270079.41
432235360.0,189687404.82228228,189687405.60438725,189687726.5032743,41417586.32
29901047.0,202469453.3965183,202469453.3551026,202469436.36216623,28578358.303333335
6905842.0,218462548.2918,218462547.2199826,218462107.451623,8981320.03
9364407.0,210020596.74696538,210020596.21904528,210020379.6125978,46998080.81
256863932.0,216758622.24062687,216758621.27858987,216758226.55329806,344157767.73333335
69632177.0,198393492.0178862,198393492.23907614,198393582.99365884,5716339.083333333
816969050.0,188604970.51172206,188604971.363566,188605320.87646595,28554651.726666667
736756619.0,184850112.99643514,184850114.0901967,184850562.86227605,272796182.5233333
124121377.0,196295952.07001355,196295952.42634362,196296098.62912723,112156051.11333333
89879064.0,184710273.573295,184710274.67606613,184710727.14478278,169142783.44666666
21221151.0,190598928.0390841,190598928.7624615,190599225.56534863,22443577.173333332
4529072.0,191339541.52727756,191339542.2029388,191339819.42780283,709730564.8133334
10158629.0,211325732.86500373,211325732.25299644,211325481.1454422,5041965.693333333
80251524.0,206245024.8141197,206245024.52945182,206244907.7297667,126918301.35333334
16620475.0,196368458.88889998,196368459.24055856,196368603.5266337,53232370.50666667
567403766.0,194814726.23857003,194814726.69033238,194814912.0491319,436216300.3466667
122633904.0,191525989.92658955,191525990.5902383,191526262.88636267,141633675.44333333
108018114.0,200812137.704817,200812137.77017865,200812164.58817118,123785216.78
219908830.0,218022323.97981983,218022322.9363652,218021894.8052791,195804689.21333334
275200864.0,194918308.1713569,194918308.61644566,194918491.23707,99654175.76
52146796.0,212444420.76982456,212444420.08574256,212444139.40581623,58644249.47333334
804269542.0,203945500.98954326,203945500.85302886,203945444.8409627,556663909.4266666
56239205.0,187009805.078965,187009806.03358212,187010197.71447676,97951470.51666667
684455394.0,194146621.03738517,194146621.53219214,194146824.5522674,280106449.98
32545072.0,193861769.72171438,193861770.23487374,193861980.7849572,65567416.266666666
392137020.0,199522538.7978046,199522538.94625244,199522599.85462755,176893645.58666667
1057619506.0,208166476.22091824,208166475.81245527,208166308.21944734,1081770776.66
4169099.0,198424565.9203934,198424566.13958132,198424656.07272938,5716339.083333333
10304754.0,190132807.97782385,190132808.7312324,190133117.85594386,47796949.06333333
30558353.0,187802207.73497447,187802208.63853872,187802579.37237027,48999523.8
54527620.0,200682659.3024812,200682659.3761849,200682689.61692247,39837449.96333333
18083402.0,190070658.53835744,190070659.29577014,190070970.0633941,46165140.13
143634356.0,184575613.61119896,184575614.72264594,184576070.7510815,102771719.76
53468892.0,218322712.02529362,218322710.96248558,218322274.89067984,27062772.88
70098735.0,216934709.70079148,216934708.7274095,216934309.34726816,85702308.6
372453508.0,196658490.500856,196658490.8338285,196658627.45295495,303443773.61333334
139547659.0,215748693.89304984,215748692.9960804,215748324.96811563,280920735.01
37999125.0,192199275.27465507,192199275.89492545,192199530.39283755,37514490.63333333
20320974.0,190055121.11422393,190055121.8726377,190055433.05099148,45340491.5
163194928.0,197435357.1718931,197435357.45481366,197435473.53756878,85575372.85
338640225.0,199450032.47691795,199450032.63003722,199450095.45510766,224024460.95333335
228780923.0,203986932.4291796,203986932.2899959,203986875.1826949,476918083.4866667
573833334.0,184974411.38696757,184974412.47272083,184974857.95898807,268341750.63
204657916.0,208295953.20138955,208295952.78458464,208295781.76886925,524156962.89
106065043.0,209927372.64281625,209927372.1209024,209927157.9788222,84472406.94333333
9037036.0,202604109.18077555,202604109.13068426,202604088.57813942,49224781.1
31106753.0,210025775.96663183,210025775.43837804,210025558.69501853,45445490.14333333
483652958.0,200123317.12247053,200123317.23221147,200123362.25908822,560544439.6266667
128452178.0,204111230.79077464,204111230.64358264,204111170.2504703,483890277.31
214122659.0,193732291.75784323,193732292.27934456,193732506.25216147,114575906.65
205507931.0,207135833.38022566,207135833.03816482,207135692.69006893,200616802.98666668
93758672.0,193157410.4245822,193157410.98312196,193157640.1528536,296609970.48333335
341475682.0,195933413.62385046,195933414.0035381,195933569.7899793,524702766.03
69767440.0,190376226.42035452,190376227.15808013,190376529.8480561,77684930.29333334
287855788.0,198243297.76839268,198243297.99925935,198243392.72420785,29637968.393333334
10314250.0,196989952.50887477,196989952.82049182,196990080.6774624,79898121.77
45262963.0,218224308.8261582,218224307.7696901,218223874.29916036,52370854.97
96834375.0,184819034.95798412,184819036.05374795,184819485.6473713,272796182.5233333
1757048.0,215510453.8840515,215510453.00243136,215510091.27231082,695488211.5333333
259186656.0,200428885.36715525,200428885.45720908,200428922.40642825,293287281.6166667
1316725.0,215412050.60482147,215412049.72954127,215411690.60069886,694255052.2066667
147071621.0,190293361.43719423,190293362.1802587,190293667.0607599,76917015.2
145274871.0,201102168.42072368,201102168.46739927,201102187.61846682,172299438.70666668
59921266.0,204592888.44116306,204592888.26293886,204592815.137268,150749232.35666665
6856012.0,212884645.14961982,212884644.4371751,212884352.11997345,306718436.43
77877185.0,204463411.6739852,204463411.50410295,204463341.8011339,155482883.58666667
76503581.0,191541526.66693005,191541527.3295778,191541799.21499044,123048158.92333333
35536732.0,218327891.33895436,218327890.27581263,218327454.0670924,27062772.88
77202012.0,196798325.7408998,196798326.06486297,196798458.9874627,99741425.24
6556452.0,197072818.8079643,197072819.11424246,197072944.78065297,510442385.0733333
701432875.0,194120725.09467402,194120725.59114942,194120929.29578063,271149279.62
