Total adjusted box office,Lasso predictions,Ridge predictions,Elastic net predictions,Random Forest predictions
60161703.0,264827376.17746544,264827373.1788124,264826275.0921863,33268396.426666666
54076545.0,258113673.20293704,258113670.68576306,258112748.91352892,29188944.256666668
615020551.0,263790067.28002962,263790064.3557681,263788993.510813,531647814.9533333
441652.0,256255161.5837824,256255159.19989318,256254286.2356488,853313696.9933333
105176901.0,244009137.98073748,244009136.4750825,244008585.11431298,125554481.21
38197942.0,186395196.4958367,186395199.1220155,186396160.81106383,64079457.13666666
399439748.0,234514872.45864344,234514871.63387793,234514569.61027142,589527079.8133334
32866334.0,190890207.60118347,190890209.90499863,190891053.5466515,41165865.24333333
37452346.0,270935981.6784502,270935978.2417133,270934719.7316861,70018589.00666666
276364139.0,239845488.6448545,239845487.43779922,239845045.4222456,565895957.41
640656659.0,253143236.61736074,253143234.45664594,253142443.21736923,905670151.3833333
9049104.0,215857689.68892694,215857690.20217746,215857878.15107176,29399653.62
120790225.0,198108160.49368784,198108162.27986124,198108816.36457655,286945191.06666666
148939352.0,221130689.1759324,221130689.31102523,221130738.78109464,158956689.77
302501337.0,207501585.05748102,207501586.16999683,207501993.56582126,637909343.8033333
157071377.0,193339413.08089018,193339415.20905846,193340194.52999642,278711078.1666667
189215585.0,234846230.28711104,234846229.43858194,234845918.71289933,174531624.47333333
205072431.0,225726549.07793912,225726548.88343585,225726477.65763187,211828154.13
7700865.0,238404781.46204665,238404780.35831296,238404376.17842346,93514432.36666666
489427818.0,190256299.8172646,190256302.166541,190257162.45579743,83195665.33
57773970.0,270993607.3419016,270993603.901032,270992343.87764716,45630002.31333333
117428857.0,179090798.31483978,179090801.46485978,179091954.9810606,150681806.80333334
315512028.0,221332389.45121175,221332389.57183945,221332433.74488255,112061522.31666666
22152869.0,251227085.54015034,251227083.516854,251226342.59928697,48769579.29
51435025.0,254281388.48335534,254281386.24101698,254280565.11174437,56912362.39666667
89000839.0,258430629.68745172,258430627.14754695,258429697.05144292,28110186.63
318115542.0,207487175.65304726,207487176.76659647,207487584.54083878,638862615.5233333
141334757.0,183557002.96256983,183557005.79229212,183558042.01760888,140929538.55666667
15973535.0,258041639.46017307,258041636.94816506,258040717.0676717,31981498.993333332
94546113.0,192489397.64778864,192489399.8369165,192490201.4808489,48044852.916666664
397580693.0,246573599.95863327,246573598.26906565,246572979.5607301,394684274.49666667
310849777.0,199880233.88682258,199880235.5459102,199880843.09266517,153720980.56333333
328888.0,242726907.29241025,242726905.87871155,242726388.19171718,995137720.8033333
67594464.0,190587659.0913616,190587661.41687432,190588513.0040167,59962748.20333333
8867171.0,213898328.04473156,213898328.6984994,213898568.10389367,94620805.36333333
81235315.0,235422513.97597575,235422513.08611792,235422187.22614825,43826402.75333333
211023396.0,244225243.88898525,244225242.367832,244224685.33171734,108349602.7
219489834.0,194953006.85744548,194953008.8698935,194953745.8148421,247090961.35666665
