Total adjusted box office,Lasso predictions,Ridge predictions,Elastic net predictions,Random Forest predictions
242433037.0,77723441.63699207,77723442.44728434,77723653.5076613,343864462.1566667
122640324.0,89954585.38714373,89954585.09623162,89954509.32108104,57497425.13
49282312.0,90424550.51729912,90424550.18407471,90424463.38765754,78311686.08333333
46591130.0,97658801.44075888,97658800.45621446,97658544.00761902,120309579.04666667
143777368.0,89283780.61285624,89283780.38233857,89283720.33839394,139375642.88666666
70575455.0,81302406.86574888,81302407.35381682,81302534.48300956,57870421.20666666
16301942.0,85214766.2623397,85214766.39816687,85214801.77766764,25379937.27
1713870.0,78161272.3589316,78161273.12980473,78161473.92250693,50756031.64333333
771415.0,74662643.22150786,74662644.30737245,74662927.14727765,10907882.733333332
125281452.0,99823855.62704682,99823854.44757646,99823547.22576861,90699053.72333333
161540685.0,89323948.73961551,89323948.50548139,89323887.51954426,138995462.68666667
64199041.0,82394974.71668917,82394975.10639015,82395076.61350842,120264697.34
21652452.0,79273924.97049731,79273925.6411952,79274100.34081031,6524344.523333333
25339644.0,87090609.56492674,87090609.53186646,87090600.9205096,20172101.39666667
25180726.0,90846313.97833933,90846313.60714237,90846216.91984768,129712582.84
217820102.0,85801218.55513114,85801218.63815837,85801240.26462375,172229457.85333332
70453084.0,89910400.78800794,89910400.5010739,89910325.7621071,56596944.33
55976503.0,75233027.81371209,75233028.84822334,75233298.31190072,13575588.03
152209470.0,78828060.27751762,78828060.98835796,78828246.14405447,406384833.89
44842298.0,100550897.12521437,100550895.88028641,100550571.60845152,231849299.77333334
147107953.0,78024701.61379828,78024702.39696726,78024906.39242323,15016433.813333333
27225336.0,96297107.58888519,96297106.7269379,96296882.21175624,25223350.846666668
29436917.0,86335452.19879985,86335452.2337285,86335461.33175075,46537751.73
91812259.0,89862198.94800349,89862198.66540918,89862125.05683546,55231098.836666666
134578493.0,88050624.0571883,88050623.9376952,88050592.81280495,164814241.25333333
9767798.0,93151955.86540389,93151955.2866235,93151804.52916001,17326653.16
60834373.0,90950751.11871478,90950750.73811506,90950651.60163957,125439261.35
99331136.0,83238502.15317826,83238502.46693407,83238584.19228524,115919106.58666667
1312387.0,88259497.3253327,88259497.18703414,88259461.16380608,40988664.38
14891404.0,75582489.50187135,75582490.50491957,75582751.7732859,71664821.79333334
60505837.0,85576277.52619456,85576277.62947385,85576304.53108603,64249626.03333333
49405364.0,98072531.95004323,98072530.9282495,98072264.77715921,41987761.446666665
111485608.0,91561304.19411358,91561303.75854403,91561190.30383985,63173056.35
132933233.0,75474036.04459172,75474037.05740432,75474300.86913906,304694105.2
27815468.0,94124020.46359044,94124019.79729232,94123846.24370548,72368390.66
95572442.0,100775839.44364567,100775838.17846552,100775508.63145359,101468416.6
224635666.0,76646939.98334427,76646940.89055702,76647177.19623615,125413892.36666666
21314677.0,75120557.37570857,75120558.42034584,75120830.52159482,25111088.753333334
5021030.0,90741877.67178506,90741877.3099908,90741783.07185732,179556904.89
73517508.0,94244524.05409874,94244523.37695135,94244346.99740548,72361301.36
2444874.0,93557651.99145012,93557651.37614375,93557491.10460173,47776024.54666667
397569057.0,100848142.06012869,100848140.78843892,100847809.54584074,106926573.81
42385174.0,86917888.077545,86917888.06003532,86917883.49921209,6197239.88
130777997.0,81463078.32803749,81463078.8016397,81463202.1628869,127358916.75
20803421.0,97140634.660934,97140633.7230416,97140389.42610136,14026552.126666667
10345299.0,75526254.08567232,75526255.09378359,75526517.68094033,129069402.42666666
73596904.0,77602937.10533741,77602937.92647904,77603151.8128371,185304137.26
201405327.0,76755393.60143366,76755394.49888204,76755628.26118898,223950690.23
42024674.0,94593985.57634431,94593984.8677339,94593800.29288086,32715215.13
16888711.0,98711202.15061626,98711201.07132123,98710919.94262072,14602004.353333334
284398470.0,75329430.77564293,75329431.80147476,75329699.00438283,304608319.26666665
413860.0,85138446.90084115,85138447.04353957,85138484.21282426,63395382.57
21241544.0,83997676.6586985,83997676.9041037,83997740.82586884,28333492.663333334
27682022.0,93963348.79721998,93963348.14538759,93963178.35975108,16306817.363333333
37322108.0,95465630.08971088,95465629.30262387,95465424.2866233,44844711.736666664
90790442.0,84178432.30223316,84178432.5313644,84178492.21418498,93142814.73666666
14843026.0,96200704.41935445,96200703.56608662,96200481.31167912,25601577.66
19157.0,75040221.68075915,75040222.73262928,75040496.7178502,10117367.556666667
32114852.0,74815281.3416059,74815282.41372804,74815561.67407957,26071889.69
41250470.0,97212937.13591741,97212936.19151542,97212690.19899224,77662291.94333333
3903533.0,76221159.94953321,76221160.89508015,76221407.18583041,45916723.26
8329547.0,76164924.65458858,76164925.60519853,76165173.21473639,78051718.08
158965.0,75357548.8947101,75357549.91801035,75357816.46151358,304608319.26666665
153929614.0,85692764.75389865,85692764.84669027,85692789.01653214,108862895.55
91784408.0,83375073.51674154,83375073.81820145,83375152.34078434,183065867.54
183637744.0,94726539.78681523,94726539.06627059,94726351.38285652,21109187.023333333
3562493.0,94401179.72146599,94401179.03021444,94400998.97689842,51473520.55
89434161.0,100193401.38358353,100193400.17084192,100193084.28272663,138542528.63666666
