Total adjusted box office,Lasso predictions,Ridge predictions,Elastic net predictions,Random Forest predictions
72301090.0,202728895.55412588,202728895.4826974,202728846.63418728,102348266.2
78795707.0,195361401.9484964,195361402.1429691,195361535.1388819,101546412.26666667
71364241.0,195278718.7664544,195278718.96391124,195278854.00060973,47644000.733333334
493320794.0,197748330.95988026,197748331.06820598,197748405.1499545,98428960.46666667
5094182.0,199641337.29411408,199641337.33411908,199641364.6926992,88254614.3
635794046.0,199687030.4401589,199687030.47851476,199687056.70929697,37462718.06666667
359929794.0,198464191.8721789,198464191.9546684,198464248.36754313,167604137.5
25257484.0,199654392.27891728,199654392.31845108,199654419.35480815,37462718.06666667
11426669.0,206614997.2195781,206614997.00789577,206614852.24265295,129701943.83333333
80839254.0,195927128.2639785,195927128.4380335,195927247.47069353,73302881.93333334
68818202.0,196619054.59639585,196619054.74547842,196619156.70001784,90249567.83333333
1021200203.0,196793124.3319946,196793124.4747948,196793222.13294625,443078068.26666665
102111658.0,200872879.2604391,200872879.25599632,200872876.2176667,40914592.333333336
619050616.0,198921124.8104899,198921124.87648818,198921170.0113475,237767923.93333334
652543952.0,198133459.79699016,198133459.89141613,198133524.46741754,47922193.93333333
108017547.0,195881434.9440194,195881435.11972353,195881555.28018576,234290972.93333334
255745308.0,196166473.96496755,196166474.1303843,196166587.2555155,36030311.733333334
331692618.0,205379104.09313264,205379103.92605513,205378989.66511735,342301868.6333333
646451309.0,197474171.51621187,197474171.63443232,197474252.4829822,176099201.33333334
185699291.0,196094670.2425421,196094670.4105503,196094785.30794045,29482181.833333332
170956881.0,194971921.27614486,194971921.48467436,194972064.09374622,987457107.3
250508095.0,207933573.57765082,207933573.31837958,207933396.0080448,534488202.76666665
658041654.0,206168944.32677957,206168944.1311958,206168810.37542725,26485127.566666666
40330247.0,200185304.5041479,200185304.52452046,200185318.4569059,68494266.9
47864283.0,195568109.60331663,195568109.79032904,195568237.684285,29264929.566666666
50828527.0,198061656.40358934,198061656.5006068,198061722.848859,110532289.73333333
265203965.0,201501705.100364,201501705.07322618,201501686.5142218,125530740.2
96316035.0,195330939.8799523,195330940.07552442,195331073.82330176,133157554.1
21639475.0,198586040.95521015,198586041.03330198,198586094.43869856,95162733.26666667
47406584.0,195733475.65558612,195733475.83663025,195733599.64902255,77353382.46666667
