Total adjusted box office,Lasso predictions,Ridge predictions,Elastic net predictions,Random Forest predictions
16494497.0,97649325.61609536,97649325.50315997,97649275.60752714,19265664.496666666
52536290.0,93825892.78755057,93825892.89615774,93825940.87955204,90518651.07333334
4828027.0,91854964.12910703,91854964.35191643,91855062.79064453,6330446.836666667
35509774.0,86821904.87768538,86821905.39212716,86822132.67604886,89182366.81666666
32605898.0,101261285.71035148,101261285.38812698,101261143.02712183,33410922.566666666
428686.0,86982624.65962075,86982625.16474989,86982848.33428104,90215367.04333334
141486453.0,99507468.89529708,99507468.67469463,99507371.21100852,81924313.45666666
367590483.0,105104459.61291918,105104459.06800824,105104218.32260887,314751076.47333336
1421969.0,96721663.45706746,96721663.39788394,96721637.25019534,20869417.80666667
139621668.0,102606254.12458257,102606253.72442608,102606076.93252967,7934682.1866666665
138601859.0,96157735.41479057,96157735.38828294,96157723.67702638,200542530.75666666
102615147.0,97733914.563247,97733914.44541024,97733862.38431923,62342098.89333333
20404072.0,101839312.03900422,101839311.68328694,101839154.52493675,21348130.56
94735834.0,93419864.27331932,93419864.40545315,93419922.78308679,139598161.93666667
6195985.0,101148500.00226124,101148499.68657191,101148360.2128557,19752512.45
20867433.0,93749762.56385395,93749762.67687236,93749812.60918339,28218239.836666666
235628010.0,98898426.20615919,98898426.02084671,98898344.14851753,13971543.17
5152377.0,102064883.18199798,102064882.81321034,102064719.88028926,40004554.93333333
42831558.0,99092981.46703573,99092981.27045007,99092894.41754963,51092703.016666666
277162723.0,88237364.99322724,88237365.4256525,88237556.47411112,439333608.11
271884.0,91705523.02967775,91705523.26114628,91705625.52553317,38847892.303333335
116162395.0,99180390.53423245,99180390.33258201,99180301.24202897,193307162.07666665
20761459.0,87357636.78218085,87357637.26558052,87357850.83488503,19714755.616666667
237050048.0,95672756.7133803,95672756.71497397,95672757.41906393,145773318.78333333
8620726.0,88589819.82649507,88589820.23849791,88590002.26419146,16093911.713333333
112281085.0,93298619.83864199,93298619.97780113,93298681.45926523,52015835.20666666
153309722.0,89418794.53275898,89418794.89672825,89418955.70085432,75275465.59333333
186529695.0,98867410.31082073,98867410.1273054,98867329.04897623,27856438.77
13814639.0,96783695.54037207,96783695.47759421,96783667.74189812,12674108.006666666
16685690.0,86734496.49635571,86734497.01586223,86734726.53741898,13410121.386666667
126137736.0,104580003.77651331,104580003.26199111,104579775.94254412,653866333.9
15080811.0,100874994.63569951,100874994.335858,100874861.86381815,14048668.163333334
90033241.0,95523316.34405728,95523316.35431,95523320.88404007,66800619.38666666
222641337.0,93374750.11896071,93374750.2537086,93374809.78625454,96314126.76
10084427.0,100846798.48393142,100846798.18572369,100846666.43549903,13628799.943333333
46083995.0,99792252.46731693,99792252.23021315,99792147.47613116,54456413.8
172349569.0,89621808.57149851,89621808.92370446,89621964.53071645,252235872.45333335
297837.0,86974165.84198144,86974166.34760071,86974389.7336757,90725407.36333333
71285426.0,103164543.5568272,103164543.12432152,103164352.04034024,78512356.05
23023653.0,102487829.6379395,102487829.24464491,102487655.48438893,21721917.816666666
14843026.0,101811115.82312836,101811115.46904483,101810959.0325115,16654742.256666666
67841811.0,95957541.2286427,95957541.21373498,95957534.62740491,54489414.18333333
47288523.0,95309023.70521075,95309023.72788031,95309033.74345411,8961096.94
2154272.0,93022295.12486936,93022295.28003968,93022363.8353548,79542856.94333333
36164348.0,101283842.66437855,101283842.34084702,101283699.40238887,40045341.60333333
77264268.0,88071006.29663685,88071006.73870149,88071202.04590563,102912182.24
30287459.0,104004796.49898122,104004796.01778847,104004583.4235194,45854238.516666666
12101575.0,87882090.15123317,87882090.60424426,87882290.74765955,12365163.026666667
54524926.0,91330510.12966174,91330510.38285977,91330622.24749321,27571744.27
1756372.0,88409363.16330904,88409363.58576815,88409550.23111202,75034094.48666666
52719051.0,92658561.47818822,92658561.65443449,92658639.52124979,74715963.49
98823557.0,98858951.53799133,98858951.35496615,98858870.49317966,27856438.77
299065163.0,91553262.03798917,91553262.2782802,91553368.4405145,292526437.92
13273732.0,89026864.33686914,89026864.72354816,89027035.56099978,3889291.86
28830325.0,102778252.58729953,102778252.17717686,102778070.98215818,32221387.25
255790710.0,97057200.88036951,97057200.80174382,97057166.06437208,144222016.26
1155933.0,102648549.2168847,102648548.81427749,102648370.93963616,7990088.356666666
108953788.0,96476354.78678767,96476354.74181816,96476334.87397678,140691557.02666667
65003748.0,87456324.93381844,87456325.4114998,87456536.45440964,40609070.92666667
36037.0,86965707.20438476,86965707.71049415,86965931.31310837,242133133.31
218984050.0,88849227.15604568,88849227.55301759,88849402.9379414,254118857.80333334
32651591.0,104151417.8614476,104151417.37175912,104151201.02401587,104592698.50333333
331666833.0,95010141.72586903,95010141.76585683,95010159.4327426,147182274.59666666
6859755.0,87884909.86084934,87884910.31369704,87885110.38492839,12546884.066666666
94059145.0,92743150.41789013,92743150.58923502,92743226.29059234,67812317.75666666
6721388.0,87848254.84886163,87848255.30383326,87848456.31342474,10940097.08
201192499.0,104049910.6474618,104049910.16365498,104049696.41447377,83768829.12333333
190740760.0,96913399.19375344,96913399.1234601,96913368.06737944,58659320.25666667
1434725.0,97141790.30625582,97141790.22272873,97141753.31988657,57521727.71333333
57427250.0,94939650.74711792,94939650.7911902,94939670.2626293,61377322.36
1325867.0,88423461.62499124,88423462.04663344,88423648.33105983,75034094.48666666
33709349.0,96425601.43411238,96425601.39208369,96425582.82351682,85703113.16333333
26980713.0,97257395.50804679,97257395.41782114,97257355.55551161,33701127.92
62507079.0,101021615.91840814,101021615.6100709,101021479.38455893,63216269.27
100361690.0,102583697.22196794,102583696.82311845,102583520.60867372,38013038.0
35865741.0,102510386.70231505,102510386.30771343,102510211.97000164,39828609.98
111811.0,98289384.07146059,98289383.92143805,98289317.64045161,106329767.93333334
89990354.0,102888218.60381308,102888218.18731861,102888034.17719446,60713049.39666667
2636961.0,93073048.32409532,93073048.47632483,93073115.73236938,1923531.19
28007848.0,102772613.2267713,102772612.81697538,102772431.76632309,32221387.25
144853714.0,96121080.13270858,96121080.10832487,96121069.33543535,161176262.27
5258055.0,98991474.53807676,98991474.34737274,98991390.09302704,14358133.893333333
44511178.0,87752386.80542263,87752387.26594917,87752590.72974117,7793415.393333334
127263089.0,87583208.62054263,87583209.09087192,87583416.88558769,151738755.75333333
53154750.0,101952097.8795765,101952097.51732402,101951937.47168149,64912837.46333333
126237506.0,91454574.55091327,91454574.7969226,91454683.48553453,91460365.33666667
67639113.0,98830754.98751496,98830754.80612357,98830674.66616249,136791389.78333333
239884935.0,95153943.45792444,95153943.48957989,95153957.4751734,396541194.37666667
170456182.0,104816854.09667608,104816853.56842999,104816620.18566763,396764977.55
180470119.0,86878297.92909718,86878298.44027136,86878524.28054352,104378805.73
6578580.0,101165417.82149526,101165417.50482567,101165277.59801707,14038037.09
154175283.0,98148401.77481437,98148401.63296083,98148338.96108972,116352643.19
337123326.0,96637074.37810275,96637074.3238206,96637050.34159355,210340573.55333334
29946510.0,100643784.21638052,100643783.92993613,100643657.37683141,28043740.066666666
53708710.0,88758998.55507685,88758998.95727691,88759176.65203278,53872224.97333334
472587897.0,99874022.08880416,99874021.84696236,99873914.99959633,148661834.88333333
226806.0,86644268.02093695,86644268.54567161,86644500.3770572,11319581.903333334
16100895.0,102445535.05468853,102445534.66384463,102445361.98632054,18579502.533333335
66153388.0,99783793.5422905,99783793.30567685,99783688.76814146,54456413.8
874483.0,89069158.78024928,89069159.16447762,89069328.91920094,2589669.6066666665
1075067.0,96253603.6037572,96253603.57169464,96253589.40623383,71576624.81333333
68101610.0,96521468.85846008,96521468.8108765,96521447.78812496,213645466.30666667
54768273.0,88429100.41392319,88429100.83523867,88429286.9753133,75034094.48666666
1404407.0,88437559.40249069,88437559.82331602,88437745.74684244,75034094.48666666
6706782.0,94172708.69133458,94172708.77984607,94172747.88483062,8492250.203333333
88150738.0,88020252.67495354,88020253.11995901,88020449.72644454,54237189.38333333
64982900.0,98151221.42035067,98151221.27833375,98151158.53428033,116352643.19
9791431.0,102693663.18514754,102693662.77992627,102693483.75037742,8306133.19
82165139.0,103703094.92767578,103703094.46396464,103702889.59318846,37075736.45666666
63150696.0,100409753.83997159,100409753.5670877,100409633.00510839,77345759.06
51703256.0,90724288.18838157,90724288.47670613,90724415.86048597,57417455.77333333
50881352.0,102843104.1381486,102843103.72426821,102842920.86906432,50909328.53333333
91791960.0,95058075.48310141,95058075.52031176,95058091.96010403,169843551.70666668
174289153.0,87501438.46031754,87501438.93538487,87501648.8233985,66579555.55
24210259.0,103604407.23240934,103604406.77441649,103604204.43002328,24218569.803333335
98966805.0,88378346.8891195,88378347.3133758,88378534.75272936,45954583.086666666
13238484.0,102984086.44768576,102984086.02563637,102983899.56131683,13330948.04
52158312.0,101616560.28838961,101616559.9455793,101616408.48962423,62708955.833333336
44486973.0,96422781.43859491,96422781.3967296,96422762.90035398,85703113.16333333
40680980.0,95906787.37064987,95906787.358683,95906782.07164037,42247136.846666664
664127698.0,97519621.7192378,97519621.6138179,97519575.03857587,322139197.61
118250550.0,104577184.03951578,104577183.52515697,104576956.2778946,653866333.9
1110364.0,94654867.25326808,94654867.31384169,94654894.07567465,7103768.17
