Total adjusted box office,Lasso predictions,Ridge predictions,Elastic net predictions,Random Forest predictions
7098140.0,119869002.41703628,119869001.9867478,119868808.2567318,12754801.113333333
59058691.0,122660988.1811046,122660987.59532651,122660723.85877965,48164000.46
15270503.0,95905630.84935977,95905631.75362507,95906038.88358927,20827887.14666667
543177.0,126792845.34098418,126792844.52509718,126792477.1859498,392091801.8433333
494099.0,130216183.9358806,130216182.92934304,130215729.75306068,3764981.6666666665
205500923.0,113281882.69719046,113281882.63374792,113281854.06983191,251475038.21
16970462.0,97441924.4627443,97441925.28145126,97442293.89023542,21753308.813333333
119900457.0,109879588.78829594,109879588.91433191,109879645.65987433,120359217.24666667
20294808.0,98957173.60491373,98957174.33923434,98957504.95450966,21669142.17
28735294.0,117939867.3151123,117939866.99226005,117939721.63357091,64113873.21
4049063.0,131450830.57573354,131450829.50043678,131450345.36650085,25700494.28
13055242.0,94467548.40337223,94467549.38772637,94467992.57631393,17156000.163333334
150796406.0,133169517.35982008,133169516.18880725,133168988.96034664,18583636.03
551961215.0,103018881.34573922,103018881.85385762,103019110.625466,36484096.03
34412291.0,122625912.6723987,122625912.088574,122625649.23151398,48164000.46
9116274.0,107108648.11679366,107108648.39714721,107108774.62153372,32046001.48666667
31198225.0,105102347.98118515,105102348.37327237,105102524.90382954,52654966.013333336
44842298.0,97210428.35961412,97210429.19121341,97210803.60455407,41872267.56333333
1008109.0,133618477.19378975,133618475.99777372,133617937.51204924,17983398.23
4495513.0,102899624.5824497,102899625.09720969,102899856.8590741,12414778.796666667
103281102.0,117497919.86924043,117497919.57100087,117497785.2937463,276899977.31
29295090.0,105109363.08729047,105109363.47898701,105109539.83364671,52374591.556666665
316405308.0,88848497.84206787,88848499.13935483,88849083.22057928,233021430.60333332
24512523.0,132559206.80786479,132559205.67084102,132558693.74536836,21978211.35
2616460.0,128315108.94373684,128315108.04307282,128314702.53453533,1247352.26
62376857.0,94081721.2027189,94081722.20856029,94082175.07141775,59730487.04333334
14485882.0,93723953.89843313,93723954.9241991,93724416.7577498,14944549.703333333
4526420.0,134186695.6406745,134186694.41301358,134186141.67972282,23218254.903333332
19774253.0,124337581.60237244,124337580.92322251,124337275.14760418,25064924.35
38020640.0,91675561.52078335,91675562.66062716,91676075.85577361,101980760.70333333
100793889.0,100767053.59092309,100767054.22444893,100767339.45861211,367958806.18
23534391.0,122724122.94886874,122724122.35957457,122723857.03998023,32614181.686666667
5382828.0,95302337.52034701,95302338.45821057,95302760.71521215,77537940.69
92632398.0,108771212.85768552,108771213.04544851,108771297.5825201,117048939.36666666
6654398.0,95281292.48178592,95281293.42082152,95281716.2055085,53269904.69
130726795.0,114369213.8603741,114369213.73637655,114369157.90860997,10795951.613333333
248347401.0,122317254.29229805,122317253.72566298,122316998.6079341,110901760.46
202396434.0,118921973.82733093,118921973.4497838,118921803.46565756,163298509.24333334
1322068.0,124779529.61048877,124779528.90672614,124779212.04965918,2493958.3333333335
9583732.0,131752476.7430528,131752475.65095696,131751983.95351478,127645439.50333333
52184205.0,108252099.99018167,108252100.20685478,108252197.76021442,24851923.213333335
27079127.0,105144438.7212488,105144439.11099193,105144614.58616167,29730102.64
187727833.0,102443648.34267391,102443648.88282785,102443892.0778862,228156397.62666667
757954953.0,89564034.42089918,89564035.67833689,89564601.81812546,290490431.3066667
39131617.0,122794274.01545726,122794273.42225629,122794006.34368707,31121711.456666667
88535936.0,117617176.19918546,117617175.89430434,117617038.62680459,140930176.94666666
2659105175.0,89108055.5826231,89108056.86545491,89108634.43850257,94345293.23
8918032.0,127824056.6674936,127824055.79417698,127823662.59833348,28854315.19
1780940.0,128525560.22324964,128525559.31086531,128525148.52545135,13081242.843333334
15735975.0,128013461.96707574,128013461.08321087,128013063.1381999,16169794.113333333
17915619.0,96656240.06415641,96656240.92661925,96656629.23573276,23131191.176666666
76868042.0,101566767.79426895,101566768.3832576,101567033.5653067,152424191.93
573626.0,94621878.87634219,94621879.85210145,94622319.17099127,41178953.166666664
70797868.0,102541858.09144303,102541858.62612754,102542099.35866481,122986030.56333333
82930111.0,104288602.48616204,104288602.92356789,104288799.85806115,36768435.486666664
65635743.0,106828047.06928799,106828047.3652686,106828180.6254739,80716687.93666667
455465.0,131724416.7225665,131724415.63203336,131723924.63817096,134412443.99333334
4910211.0,121587687.8840333,121587687.35802881,121587450.53352118,6518031.8966666665
3246039.0,124653258.7249142,124653258.02818377,124652944.33724564,5242934.163333333
33149031.0,123530853.60286081,123530852.96863869,123530567.42099908,84531492.95
56186574.0,94874420.01602326,94874420.97771814,94874853.96436611,81327293.91
63926206.0,106807001.53281705,106807001.82996972,106807135.61787291,63368477.95666666
29389041.0,115491620.071724,115491619.88521808,115491535.91412568,26197477.87
25112310.0,91745712.16800806,91745713.30394508,91746224.74012718,31561917.55666667
148408028.0,94727104.54168044,94727105.51157954,94727542.19203047,88073856.96
51413738.0,112790829.88156487,112790829.84546974,112790813.59426124,15224918.733333332
75093197.0,108904499.31429765,108904499.49463771,108904580.68967132,117048939.36666666
81000062.0,122583823.39598997,122583822.8145093,122583561.0128,61776809.74
11146190.0,115877446.47414744,115877446.26615432,115877352.62081203,32013951.543333333
8822684.0,92433186.75810868,92433187.85575926,92433682.0541346,23375247.57
13101868.0,99693752.84678552,99693753.540085,99694065.6862986,17895001.973333333
53446242.0,115295198.3494283,115295198.17386138,115295119.12786694,88222059.47
22459595.0,101089746.15039438,101089746.76594904,101090023.90888664,21039348.596666668
13351049.0,95169052.30904284,95169053.25432925,95169478.85333759,44294556.95666666
277725516.0,118893913.79369733,118893913.4177129,118893744.13716675,258469208.06666666
6001276.0,121391265.97517014,121391265.46010464,121391033.56069963,10220186.956666667
115369665.0,93969481.52619743,93969482.53828962,93969938.21545598,123931977.39
22804516.0,95014721.76848984,95014722.72237113,95015152.1910789,43695417.68666667
165049340.0,104835776.4311916,104835776.83812456,104835960.05272348,167766523.65666667
527221.0,131703371.93121617,131703370.84185505,131702880.37567183,131867544.10666667
524837.0,121706943.21203075,121706942.67938477,121706702.86465707,9469149.603333334
1890407031.0,89760455.68778251,89760456.93428124,89761018.14898328,216342325.99333334
65464517.0,95575923.68862575,95575924.61125292,95576340.0083275,66330261.32333333
1376321224.0,117231352.04187347,117231351.75847943,117231224.16517326,438151126.87333333
1075301.0,124828634.38700178,124828633.68050443,124828315.59217937,2377282.1666666665
21895721.0,95035765.53043792,95035766.48314725,95036195.42420162,43695417.68666667
11448318.0,126182536.86338694,126182536.08148888,126182184.04527743,21943542.14
333536938.0,123720261.51100384,123720260.86623333,123719970.56936085,386989681.47333336
151785513.0,110938859.69070208,110938859.75774579,110938889.94302344,125590800.78
38559632.0,111219460.71899857,111219460.7704152,111219483.91987455,62444122.88666666
66959831.0,99448226.53293,99448227.23990318,99448545.54246818,93944906.38666667
378326.0,130279318.7174307,130279317.70737709,130278862.94804688,5740938.946666666
1770107.0,100612722.13892108,100612722.78104188,100613011.88492735,144617434.92666668
18566703.0,104386814.30432273,104386814.73625903,104387009.20817932,44739559.983333334
42074915.0,121279025.31843796,121279024.80962333,121278795.72455178,16370978.566666666
131760772.0,132257561.38389425,132257560.26366954,132257055.90168446,134940734.61
641031537.0,113162628.21148084,113162628.15467975,113162602.58096266,288270661.69666666
56620657.0,89521943.73446432,89521944.99424611,89522512.18942077,284283959.73333335
8785354.0,116031777.14587356,116031776.92928554,116031679.41424054,57251671.39666667
674865823.0,130510817.97983205,130510816.95688592,130510356.39292002,162748764.32666665
124385284.0,117511949.98999956,117511949.69097865,117511815.0619314,276899977.31
616999.0,133576387.01845683,133576385.82478487,133575848.39443366,18517313.996666666
15202217.0,108104783.43738599,108104783.66226338,108104884.90945302,44467692.61333334
309638136.0,95393533.81710656,95393534.74989127,95393954.72022776,81721060.50333333
176590.0,128658845.46511203,128658844.54530485,128658430.41788337,409366396.43
1100042.0,134284905.23748848,134284904.00435814,134284348.80855012,3065423.63
628120502.0,107389251.32706434,107389251.5917907,107389370.7803042,277071121.37333333
20477883.0,131563070.5185067,131563069.43695916,131562582.48870765,21836790.993333332
735705044.0,99251805.72080506,99251806.4387172,99252129.66635732,146018485.49666667
1613376.0,102969775.60009548,102969776.11094865,102970006.11383942,30579037.72
240096.0,99876143.01091982,99876143.69406173,99876451.26700607,9220352.996666666
18975391.0,97420879.85042608,97420880.67030504,97421249.80676393,21753308.813333333
22762199.0,112587393.12389834,112587393.09913291,112587381.94891804,40364058.68666667
1823733.0,132902943.59972547,132902942.44355851,132902421.89919508,3754932.34
44915965.0,101728113.67115214,101728114.2511552,101728375.38760161,55092948.663333334
2590379.0,132888913.5568717,132888912.40148608,132888392.20891336,4473248.176666667
24419999.0,117995988.41562256,117995988.08964485,117995841.32376961,51574805.43333333
