,Title,MPAA Rating,Keywords,Source,Production method,Creative type,Countries,Total original B.O
770,The Gods Must Be Crazy,['PG'],"['Voiceover/Narration', 'Satire', 'Satirical Comedy']",['Original Screenplay'],['Live Action'],['Contemporary Fiction'],"['Botswana', 'South Africa']",34331783.0
771,The Hotel New Hampshire,['Not Rated'],"['Dysfunctional Family', 'Coming of Age', 'Comedy Drama', 'Death of a Sibling', 'Young Child Dealing with the Death of a Parent', 'Death of a Spouse or Fiancée / Fiancé', '1950s', 'Sex Crimes', 'Bullies', 'Incest', 'Suicide', 'Writing and Writers', ""Writer's Block"", 'Ensemble', 'LGBTQ+']",['Based on Fiction Book/Short Story'],['Live Action'],['Historical Fiction'],['United Kingdom'],5142858.0
772,Runaway,['Not Rated'],"['Crime Thriller', 'Robot', 'Police Detective', 'Anxiety and Phobias', 'Invented Language', 'Scientific Experiment Gone Awry', 'Mad Scientist', 'Cult Movie']",['Original Screenplay'],['Live Action'],['Science Fiction'],['United States'],6800000.0
773,American Dreamer,['Not Rated'],['Romance'],['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],5021751.0
774,No Small Affair,['Not Rated'],['Romance'],['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],4994094.0
775,Harry & Son,['Not Rated'],"['Family Drama', 'Young Child Dealing with the Death of a Parent', 'Widow/Widower', 'Death of a Spouse or Fiancée / Fiancé', 'Romance', 'Relationships Gone Wrong', 'Dysfunctional Family', 'Fired', 'Writing and Writers', 'Vacation', 'Surprise Twist', 'Directing Yourself', 'Screenplay Written By the Star']",['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],4900000.0
776,"Grandview, U.S.A.",['Not Rated'],"['Coming of Age', 'Auto Racing', 'Romance', 'Relationships Gone Wrong', 'Dysfunctional Family', 'Comedy Drama', 'Life in a Small Town']",['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],4743119.0
777,This is Spinal Tap,['Not Rated'],"['Mockumentary', ""Rock 'n' Roll"", 'Satire', 'Satirical Comedy', 'Music Industry', 'Cult Movie', 'Ensemble', 'Screenplay Written By the Star', 'Improvised']",['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],4736270.0
778,C.H.U.D.,['Not Rated'],"['Zombies', 'Gorn or Splatter Horror', 'Cult Movie', 'Government Corruption', 'Mutants', 'Missing Person', 'Photography', 'Homeless']",['Original Screenplay'],['Live Action'],['Fantasy'],['United States'],4700000.0
779,Joy of Sex,['Not Rated'],"['Teenage Sex Comedy', 'Loss Of Virginity', 'High School', 'Medical and Hospitals', 'Romance', 'Terminal Illness', 'False Diagnosis', 'Development Hell']",['Based on Factual Book/Article'],['Live Action'],['Contemporary Fiction'],['United States'],4463000.0
780,Until September,['Not Rated'],"['Romantic Drama', 'Romance', 'Vacation', 'Set in Paris', 'Infidelity', 'The Other Woman', 'Inspired by a True Story', 'Autobiographical']",['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],4097094.0
781,Flashpoint,['Not Rated'],"['Action Thriller', 'Found Money', 'FBI', 'Border Agents', 'Border Town', 'Political Assassination', 'Government Corruption', 'Cover Up', 'Framed', 'Death of a Best Friend', 'Revenge']",['Based on Fiction Book/Short Story'],['Live Action'],['Contemporary Fiction'],['United States'],3854833.0
782,Exterminator 2,['Not Rated'],"['Mafia', 'Action Thriller', 'Vigilante', 'Organized Crime', 'Death of a Best Friend', 'Ex-soldier', 'Revenge', 'Death of a Girlfriend / Boyfriend', 'Narcotics', 'Tortured for Information', 'Development Hell']",['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],3739406.0
783,Crimes of Passion,['Not Rated'],"['Erotic Thriller', 'Relationships Gone Wrong', 'Prostitution', 'Double Life', 'Infidelity']",['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],2912945.0
784,The Warrior and the Sorceress,['Not Rated'],"['Sword & Sorcerer', 'Action Adventure', 'Cult Movie']",['Original Screenplay'],['Live Action'],['Fantasy'],"['Argentina', 'United States']",2886225.0
785,Impulse,['R'],"['Psychological Thriller', 'Conspiracy Theory', 'Mental Illness', 'Dysfunctional Family', 'Death of a Sibling', 'Death of a Girlfriend / Boyfriend', 'Cover Up']",['Original Screenplay'],['Live Action'],['Science Fiction'],['United States'],2766716.0
786,"Silent Night, Deadly Night",['Not Rated'],"['Killer Santa Claus', 'Remade', 'Slasher Horror', 'Christmas', 'Christmas in November']",['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],2491460.0
787,The Brother from Another Planet,['R'],"['Action Comedy', 'Alien Encounters', 'Mute', 'Bounty Hunter', 'Fugitive / On the Run', 'Unnamed Character', 'Ensemble']",['Original Screenplay'],['Live Action'],['Science Fiction'],['United States'],3700000.0
788,The Killing Fields,['Not Rated'],"['Vietnam War', 'War', 'Historical Drama', 'Crimes Against Humanity', 'Government Corruption', 'Government Massacre or Democide', '1970s', 'Set in Cambodia', '1985 Oscars Best Picture Nominee']",['Original Screenplay'],['Live Action'],['Historical Fiction'],['United Kingdom'],34609720.0
789,A Passage to India,['Not Rated'],"['Historical Drama', 'Set in India', 'Falsely Accused', 'Sex Crimes', '1985 Oscars Best Picture Nominee']",['Based on Fiction Book/Short Story'],['Live Action'],['Historical Fiction'],['United Kingdom'],27187896.0
790,Purple Hearts,['Not Rated'],['Vietnam War'],['Original Screenplay'],['Live Action'],['Historical Fiction'],['United States'],952478.0
791,Mrs. Soffel,['Not Rated'],"['Prison', 'Historical Drama', 'Prison Break', 'Infidelity', 'Relationships Gone Wrong', 'Romance', '1900s', 'Fugitive / On the Run', 'F-Rated']",['Original Screenplay'],['Live Action'],['Historical Fiction'],['United States'],4012827.0
792,The River,['Not Rated'],"['Life Drama', 'Life on a Farm', 'Money Troubles', 'Inspired by a True Story', 'Strike', 'Unions', 'Extreme Weather']",['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],8818672.0
793,Razorback,['Not Rated'],['Animals Gone Bad'],['Based on Fiction Book/Short Story'],['Live Action'],['Science Fiction'],['Australia'],138643.0
794,Back to the Future,['PG'],['Time Travel'],['Original Screenplay'],['Live Action'],['Science Fiction'],['United States'],385510132.0
795,Rambo: First Blood Part II,['R'],"['Rescue', 'Vietnam War', 'War']",['Based on Fiction Book/Short Story'],['Live Action'],['Contemporary Fiction'],['United States'],300400000.0
796,Rocky IV,['PG'],"['Boxing', 'Sports Drama']",['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],300373716.0
797,Cocoon,['PG-13'],"['First Contact', 'Autumn Years', 'Friendly Alien on Earth', 'Romance', 'Interspecies Romance']",['Based on Fiction Book/Short Story'],['Live Action'],['Science Fiction'],['United States'],76257348.0
798,Witness,['R'],"['Religious', 'Culture Clash', 'Romance', 'Witnessing a Crime', 'Amish', 'Cross-Culture Romance', 'Corrupt Cops', 'Crime Drama', '1986 Oscars Best Picture Nominee']",['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],65532576.0
799,The Goonies,['PG'],"['Treasure Hunters', 'Fugitive / On the Run', 'Dysfunctional Family', 'Mutants', 'Pirates', 'Gangs', 'Unbelieving Police', 'Learning Disabilities', 'Money Troubles', 'Land Developer']",['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],63111381.0
800,Police Academy 2: Their First Assignment,['PG-13'],"['Farcical / Slapstick Comedy', 'Beat Cops', 'Police life', 'Undercover']",['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],55337042.0
801,A View to a Kill,['PG'],['Secret Agent'],['Based on Fiction Book/Short Story'],['Live Action'],['Contemporary Fiction'],"['United Kingdom', 'United States']",152627960.0
802,National Lampoon's European Vacation,['PG-13'],"['Family Vacations', 'Road Trip', 'Family Comedy', 'Dysfunctional Family', 'Sequel With Lead Character Recast']",['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],49400000.0
803,Fletch,['PG'],"['News', 'Film Noir', 'Crime Comedy', 'False Identity', 'Narcotics', 'Investigative Journalist', 'Newspaper Industry', 'Suicide', 'Faked Suicide', 'Cancer', 'Terminal Illness', 'Assisted Suicide', 'LAPD', 'Undercover', 'Corrupt Cops', 'Bigamy or Polygamy', 'Relationships Gone Wrong', 'Surprise Twist']",['Based on Fiction Book/Short Story'],['Live Action'],['Contemporary Fiction'],['United States'],46700000.0
804,The Breakfast Club,['R'],"['Wrestling', 'High School', 'Juvenile Delinquent', 'Comedy Drama', 'Coming of Age', 'Romance', 'Cross-Class Romance']",['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],45905126.0
805,The Jewel of the Nile,['PG'],"['Treasure Hunters', 'Writing and Writers', ""Writer's Block""]",['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],68275764.0
806,Mask,['PG-13'],"['Biography', 'Biographical Drama', '1970s', 'Set in California', 'Terminal Illness', 'Medical and Hospitals', 'High School', 'Graduation', 'New Guy/Girl in School', 'First Love', 'Dysfunctional Family', 'Addiction', 'Voiceover/Narration', 'Death of a Son or Daughter', 'Romance']",['Based on Real Life Events'],['Live Action'],['Dramatization'],['United States'],42417782.0
807,Brewster's Millions,['PG'],"['Rags to Riches', 'Inheritance', 'Riches to Rags', 'Farcical / Slapstick Comedy', 'Baseball', 'Political', 'Political Campaign']",['Based on Fiction Book/Short Story'],['Live Action'],['Contemporary Fiction'],['United States'],45800000.0
808,Jagged Edge,['R'],"['Film Noir', 'Private Investigator', 'Lawyers', 'Surprise Twist', 'Attorney Misconduct', 'Erotic Thriller']",['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],40491165.0
809,St. Elmo’s Fire,['R'],"['Coming of Age', 'College', 'Relationships Gone Wrong', 'Car Accident', 'Life Drama']",['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],37800000.0
810,Mad Max Beyond Thunderdome,['PG-13'],"['Post Apocalypse', 'Action Adventure', 'Down Syndrome', 'Australia', 'Near Future', 'Dystopia']",['Original Screenplay'],['Live Action'],['Science Fiction'],"['Australia', 'United States']",36230219.0
811,Commando,['R'],"['Rescue', 'Action Adventure', 'Death of a Mentor', 'Kidnap', 'Blackmail', 'Coup d’Etat', 'Military Coup', 'Set in South America']",['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],35078913.0
812,Teen Wolf,['PG'],"['Monster', 'Werewolf', 'Basketball', 'Coming of Age', 'High School Hell', 'Bullies', 'Romance', 'Genre Mashup']",['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],33086611.0
813,The Last Dragon,['Not Rated'],"['Mafia', 'Martial Arts', 'Action Comedy', 'Set in New York City', 'Cult Movie']",['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],33000750.0
814,White Nights,['PG-13'],"['Political Thriller', 'Dancing', 'Defecting', 'Political', 'Bigotry', 'Interracial Romance']",['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],42160849.0
815,Desperately Seeking Susan,['Not Rated'],"['Comedy Drama', 'Fugitive / On the Run', 'Mistaken Identity', 'Faulty Memory', 'Mafia']",['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],27400522.0
816,Prizzi's Honor,['R'],"['Mafia', 'Hitmen', 'Black Comedy', 'Romance', 'Relationships Gone Wrong', 'Organized Crime', 'Dysfunctional Family', 'Hitman Falling In Love with their Target', 'Novel or Other Work Adapted by Author', 'Satire', '1986 Oscars Best Picture Nominee']",['Based on Fiction Book/Short Story'],['Live Action'],['Contemporary Fiction'],['United States'],26700000.0
817,Out of Africa,['PG'],"['Oscars Best Picture Winner', 'Romantic Drama', 'Set in Africa', '1986 Oscars Best Picture Nominee']",['Based on Fiction Book/Short Story'],['Live Action'],['Historical Fiction'],['United States'],258210860.0
818,Agnes of God,['Not Rated'],"['Religious', 'Courtroom / Legal Drama', 'Crime', 'Monks and Nuns', 'Dysfunctional Family', 'Child Abuse', 'Filicide or Infanticide', 'Novel or Other Work Adapted by Author']",['Based on Play'],['Live Action'],['Contemporary Fiction'],['United States'],25627836.0
